id,Şehir,Tarih,Durum,Sıcaklık (°C)
146,Samsun,2024-11-21,Güneşli,14.8
147,Samsun,2024-11-22,Bölgesel düzensiz yağmur yağışlı,11.8
148,Samsun,2024-11-23,Bölgesel düzensiz yağmur yağışlı,11.1
149,Samsun,2024-11-24,Güneşli,7.3
150,Samsun,2024-11-25,Güneşli,9.1
151,Samsun,2024-11-26,Güneşli,8.7
152,Samsun,2024-11-27,Güneşli,10.4
153,Samsun,2024-11-28,Güneşli,11.5
154,Trabzon,2024-11-15,Parçalı Bulutlu,13.2
155,Trabzon,2024-11-16,Şiddetli yağmurlu,12.0
156,Trabzon,2024-11-17,Bölgesel düzensiz yağmur yağışlı,10.3
157,Trabzon,2024-11-18,Bölgesel düzensiz yağmur yağışlı,14.0
158,Trabzon,2024-11-19,Orta kuvvetli yağmurlu,12.7
159,Trabzon,2024-11-20,Güneşli,11.6
160,Trabzon,2024-11-21,Güneşli,15.4
161,Trabzon,2024-11-22,Bulutlu,13.8
162,Trabzon,2024-11-23,Orta kuvvetli yağmurlu,14.1
163,Trabzon,2024-11-24,Bölgesel düzensiz yağmur yağışlı,8.6
164,Trabzon,2024-11-25,Güneşli,10.4
165,Trabzon,2024-11-26,Güneşli,10.4
166,Trabzon,2024-11-27,Güneşli,11.4
167,Trabzon,2024-11-28,Güneşli,12.9
168,Eskisehir,2024-11-15,Bölgesel düzensiz yağmur yağışlı,10.3
169,Eskisehir,2024-11-16,Bölgesel düzensiz yağmur yağışlı,8.3
170,Eskisehir,2024-11-17,Bölgesel düzensiz yağmur yağışlı,7.9
171,Eskisehir,2024-11-18,Parçalı Bulutlu,8.9
172,Eskisehir,2024-11-19,Güneşli,8.3
173,Eskisehir,2024-11-20,Güneşli,7.9
174,Eskisehir,2024-11-21,Güneşli,12.1
175,Eskisehir,2024-11-22,Bölgesel düzensiz yağmur yağışlı,11.9
176,Eskisehir,2024-11-23,Bölgesel düzensiz yağmur yağışlı,5.9
177,Eskisehir,2024-11-24,Güneşli,4.6
178,Eskisehir,2024-11-25,Güneşli,8.1
179,Eskisehir,2024-11-26,Güneşli,9.4
180,Eskisehir,2024-11-27,Çok bulutlu,10.6
181,Eskisehir,2024-11-28,Güneşli,10.7
182,Denizli,2024-11-15,Parçalı Bulutlu,12.2
183,Denizli,2024-11-16,Bölgesel düzensiz yağmur yağışlı,11.0
184,Denizli,2024-11-17,Bölgesel düzensiz yağmur yağışlı,11.0
185,Denizli,2024-11-18,Bölgesel düzensiz yağmur yağışlı,10.1
186,Denizli,2024-11-19,Güneşli,10.0
187,Denizli,2024-11-20,Güneşli,7.1
