id,Şehir,Tarih,Durum,Sıcaklık (°C)
888,Bolu,2024-11-21,Bölgesel düzensiz yağmur yağışlı,8.9
889,Bolu,2024-11-22,Bölgesel düzensiz yağmur yağışlı,9.4
890,Bolu,2024-11-23,Bölgesel düzensiz yağmur yağışlı,1.2
891,Bolu,2024-11-24,Güneşli,-0.1
892,Bolu,2024-11-25,Güneşli,3.2
893,Bolu,2024-11-26,Güneşli,7.5
894,Bolu,2024-11-27,Parçalı Bulutlu,10.6
895,Bolu,2024-11-28,Güneşli,9.3
896,Corum,2024-11-15,Bölgesel düzensiz yağmur yağışlı,10.2
897,Corum,2024-11-16,Bölgesel düzensiz yağmur yağışlı,7.9
898,Corum,2024-11-17,Güneşli,6.3
899,Corum,2024-11-18,Bölgesel düzensiz yağmur yağışlı,7.1
900,Corum,2024-11-19,Bölgesel düzensiz yağmur yağışlı,7.6
901,Corum,2024-11-20,Güneşli,6.3
902,Corum,2024-11-21,Güneşli,10.6
903,Corum,2024-11-22,Bölgesel düzensiz yağmur yağışlı,12.4
904,Corum,2024-11-23,Bölgesel düzensiz yağmur yağışlı,9.9
905,Corum,2024-11-24,Güneşli,2.9
906,Corum,2024-11-25,Güneşli,6.7
907,Corum,2024-11-26,Güneşli,7.2
908,Corum,2024-11-27,Parçalı Bulutlu,8.0
909,Corum,2024-11-28,Güneşli,9.5
910,Kastamonu,2024-11-15,Orta kuvvetli yağmurlu,4.3
911,Kastamonu,2024-11-16,Bölgesel düzensiz yağmur yağışlı,5.5
912,Kastamonu,2024-11-17,Güneşli,4.2
913,Kastamonu,2024-11-18,Bölgesel düzensiz yağmur yağışlı,5.8
914,Kastamonu,2024-11-19,Parçalı Bulutlu,5.1
915,Kastamonu,2024-11-20,Güneşli,5.2
916,Kastamonu,2024-11-21,Bölgesel düzensiz yağmur yağışlı,9.1
917,Kastamonu,2024-11-22,Bölgesel düzensiz yağmur yağışlı,5.9
918,Kastamonu,2024-11-23,Bölgesel düzensiz yağmur yağışlı,3.3
919,Kastamonu,2024-11-24,Güneşli,0.4
920,Kastamonu,2024-11-25,Güneşli,3.0
921,Kastamonu,2024-11-26,Güneşli,7.5
922,Kastamonu,2024-11-27,Güneşli,8.5
923,Kastamonu,2024-11-28,Güneşli,8.0
924,Bartin,2024-11-15,Bölgesel düzensiz yağmur yağışlı,7.3
925,Bartin,2024-11-16,Bölgesel düzensiz yağmur yağışlı,8.6
926,Bartin,2024-11-17,Orta kuvvetli yağmurlu,6.9
927,Bartin,2024-11-18,Orta kuvvetli yağmurlu,5.2
928,Bartin,2024-11-19,Orta kuvvetli yağmurlu,2.6
929,Bartin,2024-11-20,Bölgesel düzensiz yağmur yağışlı,2.6
930,Bartin,2024-11-21,Hafif sağnak şeklinde kar,0.2
931,Bartin,2024-11-22,Parçalı Bulutlu,-1.1
932,Bartin,2024-11-23,Orta kuvvetli karlı,-0.5
933,Bartin,2024-11-24,Hafif karlı,-0.5
934,Bartin,2024-11-25,Hafif dondurucu yağmurlu,-0.6
935,Bartin,2024-11-26,Parçalı Bulutlu,3.2
936,Bartin,2024-11-27,Bölgesel düzensiz yağmur yağışlı,4.9
937,Bartin,2024-11-28,Bulutlu,6.2
938,Duzce,2024-11-15,Orta kuvvetli yağmurlu,6.6
939,Duzce,2024-11-16,Orta kuvvetli yağmurlu,9.0
940,Duzce,2024-11-17,Parçalı Bulutlu,7.5
941,Duzce,2024-11-18,Parçalı Bulutlu,7.9
942,Duzce,2024-11-19,Güneşli,10.1
943,Duzce,2024-11-20,Güneşli,11.0
944,Duzce,2024-11-21,Bölgesel düzensiz yağmur yağışlı,15.0
945,Duzce,2024-11-22,Bölgesel düzensiz yağmur yağışlı,10.7
946,Duzce,2024-11-23,Bölgesel düzensiz yağmur yağışlı,5.4
947,Duzce,2024-11-24,Güneşli,2.1
948,Duzce,2024-11-25,Güneşli,6.0
949,Duzce,2024-11-26,Güneşli,11.2
950,Duzce,2024-11-27,Çok bulutlu,10.1
951,Duzce,2024-11-28,Güneşli,12.3
952,Sakarya,2024-11-15,Orta kuvvetli yağmurlu,12.7
953,Sakarya,2024-11-16,Orta kuvvetli yağmurlu,9.9
954,Sakarya,2024-11-17,Parçalı Bulutlu,8.5
955,Sakarya,2024-11-18,Parçalı Bulutlu,10.0
956,Sakarya,2024-11-19,Güneşli,10.0
957,Sakarya,2024-11-20,Güneşli,11.1
958,Sakarya,2024-11-21,Bölgesel düzensiz yağmur yağışlı,16.3
959,Sakarya,2024-11-22,Bölgesel düzensiz yağmur yağışlı,9.9
960,Sakarya,2024-11-23,Bölgesel düzensiz yağmur yağışlı,7.0
961,Sakarya,2024-11-24,Güneşli,5.9
962,Sakarya,2024-11-25,Güneşli,7.8
963,Sakarya,2024-11-26,Güneşli,9.8
964,Sakarya,2024-11-27,Çok bulutlu,10.8
965,Sakarya,2024-11-28,Güneşli,12.0
966,Erzurum,2024-11-15,Güneşli,1.9
967,Erzurum,2024-11-16,Orta kuvvetli yağmurlu,2.0
968,Erzurum,2024-11-17,Hafif dondurucu yağmurlu,-0.6
969,Erzurum,2024-11-18,Bölgesel düzensiz yağmur yağışlı,2.0
970,Erzurum,2024-11-19,Orta kuvvetli yağmurlu,1.6
971,Erzurum,2024-11-20,Parçalı Bulutlu,0.3
972,Erzurum,2024-11-21,Parçalı Bulutlu,0.4
973,Erzurum,2024-11-22,Parçalı Bulutlu,2.1
974,Erzurum,2024-11-23,Bölgesel düzensiz yağmur yağışlı,3.3
975,Erzurum,2024-11-24,Bölgesel düzensiz yağmur yağışlı,1.6
976,Erzurum,2024-11-25,Güneşli,1.3
977,Erzurum,2024-11-26,Güneşli,1.4
978,Erzurum,2024-11-27,Güneşli,1.5
979,Erzurum,2024-11-28,Güneşli,1.1
980,Sirnak,2024-11-15,Güneşli,8.2
981,Sirnak,2024-11-16,Bölgesel düzensiz yağmur yağışlı,8.1
982,Sirnak,2024-11-17,Bölgesel düzensiz yağmur yağışlı,9.0
983,Sirnak,2024-11-18,Bölgesel düzensiz yağmur yağışlı,9.0
984,Sirnak,2024-11-19,Orta kuvvetli yağmurlu,7.9
985,Sirnak,2024-11-20,Parçalı Bulutlu,7.4
986,Sirnak,2024-11-21,Güneşli,8.3
987,Sirnak,2024-11-22,Parçalı Bulutlu,8.6
988,Sirnak,2024-11-23,Parçalı Bulutlu,9.9
989,Sirnak,2024-11-24,Güneşli,10.3
990,Sirnak,2024-11-25,Güneşli,10.2
991,Sirnak,2024-11-26,Güneşli,10.7
992,Sirnak,2024-11-27,Güneşli,9.9
993,Sirnak,2024-11-28,Güneşli,9.0
994,Kirklareli,2024-11-15,Orta kuvvetli yağmurlu,8.2
995,Kirklareli,2024-11-16,Güneşli,6.2
996,Kirklareli,2024-11-17,Güneşli,6.7
997,Kirklareli,2024-11-18,Güneşli,6.9
998,Kirklareli,2024-11-19,Parçalı Bulutlu,8.3
999,Kirklareli,2024-11-20,Bölgesel düzensiz yağmur yağışlı,8.9
1000,Kirklareli,2024-11-21,Bölgesel düzensiz yağmur yağışlı,12.9
1001,Kirklareli,2024-11-22,Güneşli,6.5
1002,Kirklareli,2024-11-23,Bölgesel düzensiz yağmur yağışlı,4.4
1003,Kirklareli,2024-11-24,Güneşli,4.2
1004,Kirklareli,2024-11-25,Güneşli,7.0
1005,Kirklareli,2024-11-26,Güneşli,8.3
1006,Kirklareli,2024-11-27,Parçalı Bulutlu,9.0
1007,Kirklareli,2024-11-28,Parçalı Bulutlu,9.1
1008,Erzincan,2024-11-15,Güneşli,7.1
1009,Erzincan,2024-11-16,Orta kuvvetli yağmurlu,5.4
1010,Erzincan,2024-11-17,Güneşli,2.9
1011,Erzincan,2024-11-18,Orta kuvvetli yağmurlu,3.0
1012,Erzincan,2024-11-19,Bölgesel düzensiz yağmur yağışlı,2.2
1013,Erzincan,2024-11-20,Güneşli,1.2
1014,Erzincan,2024-11-21,Parçalı Bulutlu,5.4
1015,Erzincan,2024-11-22,Parçalı Bulutlu,5.5
1016,Erzincan,2024-11-23,Bölgesel düzensiz yağmur yağışlı,5.6
1017,Erzincan,2024-11-24,Güneşli,3.8
1018,Erzincan,2024-11-25,Güneşli,4.9
1019,Erzincan,2024-11-26,Güneşli,5.3
1020,Erzincan,2024-11-27,Güneşli,4.7
1021,Erzincan,2024-11-28,Güneşli,4.4
